id,name,lat,lon
1,根室半島チャシ跡群,43.3827777,145.8141666
2,五稜郭,41.7972222,140.7569444
3,松前城（福山城）,41.4297222,140.1083333
4,弘前城,40.6075,140.4638888
5,根城,40.5061111,141.4605555
6,盛岡城,39.7005555,141.15
7,多賀城,38.3066666,140.9883333
8,仙台城（青葉城）,38.2530555,140.8555555
9,久保田城,39.7227777,140.1236111
10,山形城,38.2555555,140.3283333
11,二本松城（霞ヶ城）,37.5994444,140.4277777
12,会津若松城,37.4875,139.9297222
13,白河小峰城,37.1325,140.2133333
14,水戸城,36.3752777,140.4769444
15,足利氏館(鑁阿寺),36.3375,139.4522222
16,箕輪城,36.405,138.9508333
17,金山城,36.3169444,139.3777777
18,鉢形城,36.1091666,139.1958333
19,川越城,35.9247222,139.4913888
20,佐倉城,35.7222222,140.2158333
21,江戸城,35.6872222,139.7552777
22,八王子城,35.6530555,139.2527777
23,小田原城,35.2513888,139.1536111
24,武田氏館(武田神社),35.6866666,138.5766666
25,甲府城,35.6652777,138.5713888
26,松代城,36.5658333,138.1958333
27,上田城,36.4036111,138.2444444
28,小諸城,36.3269444,138.4169444
29,松本城,36.2386111,137.9688888
30,高遠城,35.8327777,138.0625
31,新発田城,37.9552777,139.3252777
32,春日山城,37.1466666,138.2055555
33,高岡城,36.7491666,137.0208333
34,七尾城,37.0086111,136.9838888
35,金沢城,36.5636111,136.6594444
36,丸岡城,36.1519444,136.2722222
37,一乗谷城,35.9958333,136.3080555
38,岩村城,35.3597222,137.4511111
39,岐阜城,35.4338888,136.7822222
40,山中城,35.1561111,138.9919444
41,駿府城,34.9791666,138.3830555
42,掛川城,34.775,138.0138888
43,犬山城,35.3883333,136.9391666
44,名古屋城,35.1858333,136.8994444
45,岡崎城,34.9561111,137.1588888
46,長篠城,34.9227777,137.5597222
47,伊賀上野城,34.77,136.1272222
48,松阪城,34.5758333,136.5255555
49,小谷城,35.4588888,136.2763888
50,彦根城,35.2763888,136.2516666
51,安土城,35.1558333,136.1391666
52,観音寺城,35.1458333,136.1577777
53,二条城,35.0141666,135.7477777
54,大阪城,34.6875,135.5258333
55,千早城,34.4169444,135.6513888
56,竹田城,35.3,134.8288888
57,篠山城,35.0730555,135.2175
58,明石城,34.6525,134.9916666
59,姫路城,34.8394444,134.6938888
60,赤穂城,34.7458333,134.3891666
61,高取城,34.4291666,135.8275
62,和歌山城,34.2275,135.1713888
63,鳥取城,35.51,134.2411111
64,松江城,35.475,133.0505555
65,月山富田城,35.3608333,133.1847222
66,津和野城,34.46,131.7641666
67,津山城,35.0627777,134.005
68,備中松山城,34.8088888,133.6219444
69,鬼ノ城,34.7275,133.7677777
70,岡山城,34.665,133.9361111
71,福山城,34.4908333,133.3611111
72,郡山城,34.6736111,132.7094444
73,広島城,34.4025,132.4591666
74,岩国城,34.1752777,132.1741666
75,萩城,34.4213888,131.3813888
76,徳島城,34.0752777,134.555
77,高松城,34.3502777,134.0516666
78,丸亀城,34.2861111,133.8005555
79,今治城,34.0633333,133.0069444
80,湯築城,33.8486111,132.7863888
81,松山城,33.8455555,132.7655555
82,大洲城,33.5094444,132.5411111
83,宇和島城,33.2191666,132.565
84,高知城,33.5608333,133.5311111
85,福岡城,33.5847222,130.3830555
86,大野城,33.5397222,130.5230555
87,名護屋城,33.5302777,129.8691666
88,吉野ヶ里,33.3247222,130.3833333
89,佐賀城,33.2452777,130.3027777
90,平戸城,33.3683333,129.5575
91,島原城,32.7891666,130.3672222
92,熊本城,32.8061111,130.7058333
93,人吉城,32.2111111,130.7663888
94,大分府内城,33.2405555,131.6113888
95,岡城,32.9691666,131.4077777
96,飫肥城,31.6288888,131.35
97,鹿児島城(黎明館),31.5986111,130.5547222
98,今帰仁城,26.6911111,127.9297222
99,中城城,26.2838888,127.8011111
100,首里城,26.2169444,127.7194444